,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
1289,Male,Group b,college degree,Standard,Start,Married,Sometimes,Yes,0,Private car,0-10,93,84,78
1290,Female,Group e,Associate's degree,Free,Completed,Divorced,Regularly,Yes,5,Own car,5-10,57,71,73
1291,Female,Group c,college degree,Standard,Completed,Married,Regularly,No,1,School_bus,0-5,86,86,92
1292,Female,Group b,law degree,Free,Start,Divorced,Regularly,No,1,School_bus,5-10,57,73,68
1293,Male,Group d,Master's degree,Free,Completed,Single,Sometimes,Yes,1,School_bus,0-5,66,69,70
1294,Male,Group d,High school,Free,Start,Divorced,Sometimes,Yes,0,Own car,5-10,52,40,46
1295,Female,Group e,Associate's degree,Standard,Start,Married,Never,No,3,School_bus,0-5,79,80,81
1296,Male,Group e,High school,Standard,Start,Married,Sometimes,Yes,2,School_bus,5-10,83,80,74
1297,Female,Group b,High school,Free,Start,Divorced,Sometimes,Yes,1,Private car,5-10,23,31,29
1298,Male,Group c,Master's degree,Free,Start,Married,Regularly,No,3,School_bus,5-10,65,69,64
1299,Female,Group d,college degree,Free,Start,Divorced,Sometimes,Yes,2,Private car,0-10,63,73,73
1300,Female,Group e,law degree,Standard,Completed,Married,Sometimes,No,2,Private car,0-10,80,95,93
1301,Female,Group f,law degree,Free,Start,Married,Sometimes,Yes,0,Private car,0-5,70,74,71
1302,Female,Group d,law degree,Free,Start,Single,Regularly,Yes,0,Own car,0-5,78,79,79
1303,Male,Group c,Bachelor's degree,Free,Completed,Divorced,Regularly,Yes,5,School_bus,0-10,95,92,90
1304,Male,Group b,Master's degree,Free,Start,Married,Regularly,No,2,Private car,0-5,51,56,53
1305,Female,Group e,High school,Standard,Completed,Divorced,Sometimes,No,2,School_bus,5-10,100,100,100
1306,Female,Group c,college degree,Standard,Start,Single,Never,Yes,2,School_bus,0-5,53,54,59
1307,Female,Group e,Bachelor's degree,Standard,Start,Married,Regularly,Yes,4,Private car,5-10,79,81,85
1308,Male,Group e,High school,Standard,Start,Married,Sometimes,No,3,School_bus,5-10,53,57,48
1309,Male,Group d,Master's degree,Standard,Start,Single,Sometimes,Yes,1,School_bus,0-10,75,71,78
1310,Male,Group b,law degree,Standard,Start,Single,Never,Yes,1,School_bus,0-5,67,73,67
1311,Male,Group c,college degree,Standard,Completed,Married,Sometimes,Yes,1,Own car,0-5,81,77,82
1312,Female,Group b,college degree,Standard,Start,Single,Regularly,Yes,2,School_bus,5-10,96,89,93
1314,Male,Group e,college degree,Standard,Start,Married,Regularly,No,2,Own car,5-10,66,53,50
1315,Male,Group c,law degree,Standard,Completed,Divorced,Never,No,3,Private car,0-10,85,74,78
1316,Male,Group c,law degree,Free,Start,Married,Sometimes,Yes,2,Own car,5-10,47,46,48
1317,Male,Group d,High school,Standard,Completed,Married,Regularly,Yes,4,Private car,5-10,80,72,73
1318,Male,Group d,college degree,Standard,Completed,Married,Never,Yes,1,School_bus,5-10,62,58,62
1319,Male,Group d,High school,Free,Start,Divorced,Sometimes,Yes,4,Own car,5-10,83,83,75
1320,Male,Group c,Professional certification,Free,Start,Divorced,Regularly,Yes,2,School_bus,0-5,57,60,52
1321,Male,Group e,college degree,Free,Start,Married,Sometimes,No,3,School_bus,5-10,90,80,81
1322,Male,Group b,Bachelor's degree,Standard,In progress,Married,Never,Yes,0,School_bus,5-10,71,70,74
1323,Male,Group d,Associate's degree,Standard,Completed,Married,Regularly,Yes,5,School_bus,0-5,87,77,80
1324,Male,Group c,college degree,Standard,Start,Single,Sometimes,No,7,School_bus,5-10,79,74,71
1326,Male,Group d,Master's degree,Free,Start,Divorced,Regularly,Yes,1,Private car,0-5,52,65,69
1327,Male,Group c,Associate's degree,Standard,Start,Married,Sometimes,Yes,3,Private car,0-10,75,68,73
1328,Female,Group d,Associate's degree,Standard,Start,Married,Sometimes,Yes,0,Private car,0-5,65,80,79
1329,Male,Group d,Professional certification,Standard,Completed,Married,Sometimes,Yes,2,School_bus,5-10,73,68,72
1330,Female,Group c,Professional certification,Standard,Start,Divorced,Regularly,Yes,2,Private car,5-10,41,32,33
1331,Male,Group d,Associate's degree,Free,Start,Widowed,Sometimes,No,2,Private car,10-15,70,59,57
1332,Male,Group c,law degree,Standard,Start,Married,Sometimes,No,1,School_bus,0-5,57,50,49
1333,Female,Group d,Bachelor's degree,Free,Completed,Married,Regularly,Yes,1,Private car,5-10,64,78,78
1334,Female,Group c,law degree,Standard,Start,Married,Sometimes,No,4,School_bus,0-10,51,63,65
1335,Female,Group e,Associate's degree,Free,Start,Married,Regularly,Yes,1,School_bus,0-10,63,81,66
1336,Female,Group d,law degree,Standard,Start,Married,Regularly,No,3,School_bus,0-10,72,84,81
1337,Male,Group c,Associate's degree,Standard,Start,Married,Never,No,3,School_bus,0-5,62,58,51
1338,Male,Group e,Associate's degree,Free,Start,Married,Regularly,Yes,2,Own car,0-10,55,58,58
1339,Male,Group c,college degree,Standard,Start,Widowed,Sometimes,Yes,1,School_bus,5-10,53,45,44
1340,Female,Group c,Master's degree,Standard,Start,Widowed,Sometimes,No,3,School_bus,5-10,74,77,83
1341,Female,Group d,Master's degree,Free,Completed,Married,Regularly,Yes,2,Private car,5-10,76,85,89
1342,Male,Group d,college degree,Free,Start,Single,Regularly,Yes,6,Private car,5-10,52,48,49
1343,Male,Group d,law degree,Free,Completed,Married,Sometimes,Yes,0,School_bus,5-10,42,26,32
1344,Male,Group b,High school,Standard,Start,Married,Sometimes,No,2,Private car,0-5,38,23,27
1345,Male,Group d,Master's degree,Standard,Completed,Divorced,Sometimes,Yes,3,Private car,0-10,100,99,100
1346,Male,Group f,Associate's degree,Standard,Start,Single,Regularly,Yes,0,Own car,5-10,58,55,47
1347,Male,Group d,law degree,Free,Completed,Divorced,Regularly,Yes,3,School_bus,5-10,46,51,52
1348,Female,Group a,college degree,Standard,Start,Married,Sometimes,Yes,0,Private car,0-10,55,62,56
1349,Male,Group d,Associate's degree,Standard,Start,Married,Regularly,Yes,5,Private car,5-10,71,68,64
1351,Female,Group e,High school,Standard,Start,Married,Regularly,No,1,School_bus,5-10,30,47,42
1352,Female,Group d,Bachelor's degree,Free,Start,Married,Sometimes,No,2,Private car,5-10,68,69,75
1353,Male,Group c,Professional certification,Standard,Start,Married,Regularly,Yes,4,School_bus,10-15,73,58,60
1354,Male,Group a,Associate's degree,Free,Start,Married,Regularly,No,3,Private car,0-5,40,42,38
1355,Female,Group c,High school,Standard,Start,Married,Never,Yes,2,Private car,0-5,54,65,62
1356,Female,Group d,High school,Standard,Start,Married,Sometimes,Yes,7,Private car,5-10,62,75,70
1357,Male,Group d,Associate's degree,Standard,Start,Widowed,Regularly,Yes,1,School_bus,0-10,75,73,67
1358,Male,Group b,Associate's degree,Free,Start,Divorced,Sometimes,No,1,School_bus,0-5,45,37,38
1359,Male,Group d,Associate's degree,Standard,Completed,Divorced,Sometimes,No,2,Private car,0-10,49,51,57
1360,Male,Group b,college degree,Free,Completed,Divorced,Sometimes,Yes,2,Private car,5-10,80,85,80
1361,Male,Group e,law degree,Free,Start,Divorced,Sometimes,No,3,School_bus,0-10,47,49,46
1362,Male,Group c,Associate's degree,Standard,Start,Married,Never,Yes,3,Private car,5-10,64,53,54
1363,Male,Group a,High school,Standard,Completed,Married,Sometimes,Yes,0,Own car,5-10,62,57,55
1364,Female,Group c,Bachelor's degree,Standard,Completed,Single,Sometimes,No,1,School_bus,5-10,77,82,85
1365,Female,Group c,college degree,Standard,Start,Married,Sometimes,No,4,School_bus,5-10,79,88,78
1366,Male,Group a,college degree,Free,Start,Single,Sometimes,Yes,5,Own car,5-10,47,40,35
1367,Female,Group c,Associate's degree,Standard,Completed,Married,Sometimes,Yes,2,Own car,0-5,79,85,86
1368,Male,Group b,High school,Free,Start,Single,Sometimes,No,1,School_bus,5-10,45,43,33
1369,Male,Group e,Bachelor's degree,Standard,Start,Single,Regularly,Yes,1,Own car,5-10,96,90,83
1370,Female,Group c,college degree,Standard,Start,Married,Never,Yes,2,Private car,5-10,63,66,64
1371,Female,Group c,High school,Free,Completed,Divorced,Never,No,3,School_bus,5-10,64,80,82
1372,Female,Group b,college degree,Standard,In progress,Divorced,Regularly,Yes,4,School_bus,0-10,57,65,69
1373,Female,Group d,college degree,Standard,Start,Divorced,Regularly,Yes,3,School_bus,5-10,100,95,97
1374,Female,Group d,college degree,Free,Completed,Married,Sometimes,No,2,School_bus,0-5,55,64,65
1375,Female,Group d,law degree,Standard,Completed,Married,Sometimes,Yes,2,Private car,5-10,61,76,77
1376,Female,Group a,Associate's degree,Free,Completed,Married,Regularly,No,1,School_bus,5-10,62,74,76
1377,Female,Group c,High school,Standard,Completed,Married,Regularly,Yes,1,School_bus,0-10,97,98,100
1378,Female,Group f,Associate's degree,Free,Start,Divorced,Sometimes,Yes,3,Private car,5-10,65,70,75
1379,Female,Group b,college degree,Free,Start,Single,Sometimes,No,2,Private car,10-15,57,68,74
1380,Male,Group b,High school,Standard,Completed,Single,Sometimes,Yes,1,Private car,5-10,60,55,56
1381,Male,Group e,Associate's degree,Free,Start,Married,Sometimes,Yes,1,School_bus,0-5,85,68,63
1382,Male,Group c,law degree,Standard,Completed,Married,Regularly,No,2,School_bus,0-10,73,72,69
1383,Female,Group c,Professional certification,Standard,Start,Widowed,Sometimes,Yes,6,Private car,0-10,64,66,72
1385,Male,Group c,Professional certification,Standard,In progress,Married,Regularly,No,1,Own car,5-10,75,62,65
1386,Female,Group b,Associate's degree,Standard,Completed,Married,Regularly,Yes,4,School_bus,5-10,90,100,100
1387,Female,Group f,Associate's degree,Standard,Start,Divorced,Never,No,5,School_bus,5-10,68,83,72
1388,Female,Group d,law degree,Standard,Completed,Married,Sometimes,No,1,Private car,0-5,85,97,98
1389,Male,Group c,Associate's degree,Standard,Start,Single,Sometimes,Yes,0,Own car,5-10,88,74,70
1390,Female,Group d,Bachelor's degree,Standard,Start,Married,Regularly,Yes,2,School_bus,5-10,80,79,89
1391,Female,Group d,High school,Free,Start,Married,Never,Yes,2,Own car,0-10,34,39,34
1392,Male,Group b,college degree,Standard,Start,Single,Sometimes,Yes,4,School_bus,5-10,42,40,37
1393,Male,Group b,High school,Free,Start,Divorced,Regularly,Yes,1,Own car,5-10,73,77,72
1394,Female,Group b,Associate's degree,Standard,Completed,Single,Sometimes,Yes,0,School_bus,5-10,42,58,56
1395,Female,Group f,Associate's degree,Standard,Start,Married,Never,Yes,2,School_bus,0-5,74,85,79
1396,Female,Group c,High school,Standard,Completed,Married,Regularly,Yes,5,Own car,0-5,89,99,98
1397,Female,Group d,High school,Standard,Start,Married,Sometimes,Yes,4,Private car,5-10,66,59,64
1398,Female,Group a,Associate's degree,Standard,Start,Single,Regularly,Yes,2,School_bus,0-5,61,65,66
1399,Male,Group a,law degree,Free,Start,Divorced,Regularly,Yes,1,School_bus,5-10,54,54,48
1400,Female,Group c,college degree,Standard,Completed,Married,Regularly,No,3,Private car,10-15,74,89,85
1401,Female,Group b,college degree,Free,Start,Married,Regularly,Yes,4,Private car,5-10,76,82,78
1402,Female,Group f,Associate's degree,Standard,Start,Single,Regularly,No,1,Private car,5-10,91,94,95
1403,Male,Group b,law degree,Standard,Start,Married,Sometimes,No,4,School_bus,0-10,60,60,51
1404,Male,Group e,Bachelor's degree,Free,Completed,Married,Never,Yes,1,Private car,5-10,66,65,58
1405,Male,Group c,Associate's degree,Standard,Completed,Single,Sometimes,No,2,School_bus,5-10,73,68,72
1406,Female,Group c,Associate's degree,Standard,Completed,Married,Regularly,Yes,2,School_bus,0-10,83,99,97
1407,Male,Group b,law degree,Standard,Start,Married,Sometimes,Yes,0,School_bus,5-10,67,57,53
1408,Male,Group b,college degree,Free,In progress,Widowed,Never,Yes,3,Own car,5-10,58,59,49
1409,Male,Group c,college degree,Standard,Start,Married,Sometimes,Yes,1,Private car,5-10,74,67,67
1410,Male,Group c,Associate's degree,Free,Completed,Married,Sometimes,No,2,Private car,0-5,65,60,59
1411,Female,Group b,law degree,Standard,Completed,Divorced,Sometimes,No,3,Private car,0-10,79,89,90
1412,Female,Group e,college degree,Standard,Completed,Married,Regularly,No,2,Private car,5-10,90,93,100
1413,Female,Group b,Bachelor's degree,Standard,Start,Single,Regularly,Yes,5,School_bus,0-10,48,66,66
1414,Female,Group d,Bachelor's degree,Standard,Start,Divorced,Regularly,Yes,1,School_bus,0-5,79,84,94
1415,Female,Group c,Master's degree,Standard,Start,Married,Sometimes,Yes,3,School_bus,0-10,77,89,87
1416,Female,Group c,Associate's degree,Free,Completed,Married,Regularly,Yes,2,School_bus,0-5,58,62,66
1418,Male,Group b,Associate's degree,Free,Completed,Married,Regularly,No,2,Private car,0-10,53,56,52
1419,Male,Group b,High school,Free,Start,Married,Sometimes,Yes,2,School_bus,0-5,60,64,52
1420,Female,Group c,law degree,Free,Completed,Divorced,Sometimes,Yes,0,Private car,5-10,61,71,73
1422,Male,Group d,High school,Free,Start,Married,Never,Yes,2,School_bus,0-5,63,58,50
1423,Female,Group d,law degree,Standard,Start,Married,Sometimes,Yes,1,Private car,5-10,48,52,47
1424,Female,Group d,law degree,Free,Completed,Widowed,Regularly,Yes,2,Private car,5-10,54,68,69
1425,Female,Group e,Associate's degree,Standard,Start,Married,Sometimes,No,4,School_bus,5-10,90,91,88
1426,Male,Group e,law degree,Standard,Completed,Married,Regularly,Yes,4,School_bus,5-10,74,79,74
1427,Male,Group c,college degree,Standard,Start,Single,Sometimes,Yes,2,Own car,5-10,73,79,74
1428,Male,Group c,Associate's degree,Standard,Completed,Married,Sometimes,No,2,School_bus,0-10,66,64,65
1429,Female,Group b,Bachelor's degree,Standard,Start,Married,Never,No,3,School_bus,5-10,74,74,78
1431,Female,Group f,High school,Free,Completed,Married,Sometimes,Yes,1,School_bus,0-5,82,83,88
1432,Female,Group c,college degree,Standard,Start,Married,Never,Yes,2,School_bus,0-10,55,60,60
1433,Male,Group b,college degree,Free,In progress,Married,Regularly,Yes,2,School_bus,5-10,76,69,64
1434,Male,Group c,law degree,Standard,Completed,Married,Sometimes,Yes,2,School_bus,0-10,73,73,78
1435,Male,Group c,college degree,Free,Completed,Single,Regularly,No,2,School_bus,0-5,70,78,71
1436,Female,Group b,Professional certification,Standard,Completed,Married,Sometimes,No,2,Private car,5-10,53,62,67
1437,Male,Group c,college degree,Standard,Completed,Married,Sometimes,No,1,Own car,5-10,94,85,87
1438,Female,Group e,Bachelor's degree,Standard,In progress,Married,Sometimes,No,6,School_bus,0-5,72,80,78
1439,Male,Group e,college degree,Standard,In progress,Divorced,Sometimes,Yes,4,School_bus,5-10,64,62,57
1440,Male,Group e,law degree,Standard,Completed,Married,Regularly,No,1,School_bus,0-5,86,81,77
1441,Female,Group a,Associate's degree,Standard,In progress,Married,Regularly,Yes,1,Own car,0-5,67,79,81
1442,Female,Group c,law degree,Standard,Start,Single,Sometimes,Yes,0,Private car,5-10,57,62,63
1443,Male,Group b,law degree,Free,Start,Single,Regularly,No,3,Own car,5-10,46,56,50
1444,Female,Group b,college degree,Free,Start,Married,Sometimes,Yes,4,School_bus,5-10,60,73,68
1445,Female,Group d,High school,Standard,Completed,Married,Regularly,Yes,0,Private car,5-10,71,68,71
1446,Female,Group e,Associate's degree,Free,Start,Married,Sometimes,Yes,1,School_bus,5-10,78,89,81
1447,Female,Group c,college degree,Free,Start,Married,Sometimes,Yes,2,Private car,5-10,36,45,42
1449,Female,Group c,college degree,Standard,Start,Married,Sometimes,Yes,0,School_bus,0-5,80,88,85
1450,Female,Group c,law degree,Free,Completed,Single,Sometimes,Yes,2,School_bus,0-5,54,60,57
1451,Male,Group b,college degree,Standard,Completed,Married,Sometimes,Yes,2,Own car,0-10,65,63,58
1452,Female,Group b,High school,Standard,Completed,Married,Sometimes,Yes,0,School_bus,5-10,64,78,75
1453,Female,Group f,Associate's degree,Standard,Completed,Married,Sometimes,No,2,School_bus,5-10,84,84,89
1454,Female,Group c,Bachelor's degree,Free,Start,Married,Sometimes,No,2,Private car,0-10,52,55,57
1455,Female,Group b,High school,Free,In progress,Married,Sometimes,No,2,Private car,5-10,60,72,66
1457,Female,Group a,law degree,Standard,Completed,Divorced,Regularly,No,1,Own car,5-10,41,51,56
1458,Female,Group f,Bachelor's degree,Free,Start,Married,Sometimes,Yes,1,Private car,0-10,70,65,70
1459,Male,Group e,college degree,Standard,Start,Married,Sometimes,No,2,School_bus,0-5,80,62,63
1460,Female,Group d,law degree,Standard,Start,Divorced,Sometimes,No,2,Private car,5-10,78,70,78
1461,Female,Group c,law degree,Standard,Start,Single,Sometimes,Yes,3,Private car,5-10,52,62,60
1462,Male,Group e,law degree,Standard,Start,Married,Sometimes,No,1,School_bus,0-10,60,50,45
1463,Male,Group e,law degree,Free,Start,Married,Never,No,2,Private car,0-5,60,61,54
1464,Female,Group c,High school,Standard,Completed,Married,Regularly,Yes,7,Private car,5-10,60,70,73
1465,Female,Group a,Associate's degree,Standard,Start,Single,Sometimes,Yes,2,Private car,5-10,49,57,57
1466,Female,Group c,college degree,Standard,Completed,Single,Regularly,Yes,7,School_bus,0-10,90,100,100
1467,Female,Group c,High school,Standard,Start,Divorced,Never,Yes,4,School_bus,0-5,70,78,76
1468,Female,Group e,Associate's degree,Standard,Completed,Married,Sometimes,No,2,School_bus,0-5,81,86,84
1469,Male,Group b,High school,Standard,Start,Married,Never,No,3,School_bus,5-10,43,44,43
1470,Male,Group a,High school,Standard,Start,Single,Regularly,Yes,1,School_bus,0-5,60,51,54
1471,Male,Group e,Professional certification,Free,Completed,Single,Regularly,Yes,1,School_bus,5-10,100,96,91
1472,Male,Group d,law degree,Free,Completed,Single,Sometimes,No,2,School_bus,0-5,77,70,68
1473,Female,Group c,Bachelor's degree,Free,Completed,Widowed,Sometimes,No,2,Private car,0-10,84,96,98
1474,Male,Group b,law degree,Standard,Completed,Married,Regularly,Yes,5,School_bus,5-10,70,67,65
1476,Male,Group b,Associate's degree,Standard,Start,Divorced,Sometimes,No,3,School_bus,5-10,79,75,70
1477,Female,Group d,High school,Standard,Completed,Married,Sometimes,Yes,5,School_bus,0-10,92,92,99
1479,Female,Group d,college degree,Standard,Start,Single,Never,No,2,School_bus,5-10,68,76,79
1480,Female,Group e,High school,Standard,Start,Single,Sometimes,Yes,2,School_bus,5-10,100,98,92
1481,Female,Group f,Associate's degree,Standard,Completed,Married,Regularly,No,7,Private car,5-10,67,82,82
1482,Female,Group e,Associate's degree,Free,In progress,Married,Regularly,Yes,3,School_bus,0-10,85,86,93
1483,Female,Group c,High school,Free,Start,Divorced,Regularly,No,1,School_bus,5-10,52,68,66
1484,Male,Group b,law degree,Free,Start,Single,Sometimes,Yes,1,Private car,0-10,30,21,17
1485,Female,Group e,college degree,Standard,Start,Divorced,Sometimes,No,5,School_bus,0-5,89,95,90
1486,Female,Group c,college degree,Standard,Start,Married,Regularly,No,2,Private car,0-5,53,55,54
1487,Female,Group d,law degree,Free,Start,Married,Sometimes,Yes,3,Private car,5-10,44,45,52
1488,Male,Group a,High school,Standard,Start,Single,Sometimes,Yes,1,School_bus,5-10,61,65,54
1489,Female,Group e,Associate's degree,Standard,Completed,Divorced,Sometimes,Yes,3,School_bus,0-5,95,98,98
1490,Female,Group c,Associate's degree,Standard,Start,Single,Sometimes,No,4,School_bus,0-5,64,75,69
1491,Male,Group b,college degree,Free,Start,Single,Sometimes,No,2,Private car,5-10,49,61,49
1493,Male,Group d,High school,Free,Start,Married,Regularly,No,1,Private car,0-5,49,41,36
1494,Male,Group d,High school,Standard,Start,Married,Never,Yes,1,School_bus,5-10,57,56,49
1495,Male,Group c,Master's degree,Standard,Start,Single,Sometimes,Yes,3,Private car,0-10,82,79,81
1496,Male,Group e,High school,Standard,Start,Divorced,Sometimes,Yes,3,Private car,0-5,92,91,83
1497,Female,Group c,Professional certification,Standard,Completed,Married,Regularly,No,3,School_bus,5-10,47,59,61
1498,Male,Group c,Bachelor's degree,Free,Start,Married,Regularly,No,4,School_bus,0-5,73,74,76
1499,Male,Group c,law degree,Standard,Start,Divorced,Sometimes,Yes,7,Private car,5-10,88,73,74
1500,Male,Group b,college degree,Standard,Completed,Married,Regularly,Yes,0,Private car,5-10,81,82,87
1501,Female,Group d,Bachelor's degree,Standard,Completed,Married,Regularly,Yes,5,Private car,0-10,82,84,97
1502,Female,Group c,college degree,Free,Start,Married,Sometimes,Yes,1,Private car,0-5,51,61,57
1503,Male,Group c,Professional certification,Free,Completed,Divorced,Regularly,Yes,3,School_bus,5-10,44,49,46
1504,Female,Group e,Bachelor's degree,Standard,Completed,Married,Sometimes,Yes,0,Private car,5-10,63,69,74
1505,Male,Group d,Master's degree,Free,Start,Married,Regularly,Yes,1,School_bus,5-10,70,66,62
1506,Male,Group d,college degree,Standard,Start,Single,Regularly,No,3,Private car,5-10,61,46,50
1507,Male,Group b,law degree,Free,Start,Married,Sometimes,Yes,1,Private car,5-10,34,37,35
1508,Male,Group a,High school,Free,Start,Single,Regularly,Yes,1,School_bus,10-15,44,49,39
1509,Male,Group c,Associate's degree,Standard,Start,Single,Sometimes,Yes,0,Own car,5-10,90,84,85
1510,Male,Group c,college degree,Standard,Start,Married,Sometimes,Yes,4,Private car,5-10,39,45,29
1512,Male,Group e,High school,Free,Completed,Married,Sometimes,Yes,2,School_bus,10-15,93,85,78
1513,Male,Group f,Professional certification,Standard,Start,Divorced,Sometimes,Yes,1,Private car,5-10,60,57,51
1514,Male,Group d,High school,Standard,Start,Single,Never,No,1,School_bus,0-10,66,55,57
1515,Male,Group e,High school,Standard,Completed,Married,Sometimes,Yes,2,School_bus,0-5,97,98,95
1516,Female,Group f,High school,Standard,Start,Divorced,Regularly,No,5,Private car,0-5,74,83,83
1517,Female,Group b,High school,Free,Start,Married,Sometimes,No,1,Private car,5-10,46,58,53
1518,Male,Group c,law degree,Standard,In progress,Married,Sometimes,Yes,2,Own car,0-10,64,75,77
1519,Female,Group e,Associate's degree,Free,Completed,Married,Sometimes,No,4,Private car,5-10,58,66,64
1520,Female,Group b,Associate's degree,Standard,Start,Single,Regularly,No,1,Private car,0-5,41,57,58
1521,Male,Group c,college degree,Free,Completed,Married,Sometimes,Yes,0,Private car,5-10,30,30,36
1522,Female,Group c,Professional certification,Standard,Completed,Divorced,Sometimes,Yes,3,Private car,5-10,82,84,90
1523,Male,Group b,law degree,Standard,Start,Married,Never,No,2,Private car,5-10,78,65,62
1524,Male,Group b,Bachelor's degree,Free,Start,Married,Sometimes,Yes,2,School_bus,0-5,56,54,50
1526,Female,Group e,Bachelor's degree,Free,Completed,Widowed,Sometimes,No,3,Private car,0-10,98,100,100
1527,Male,Group b,Associate's degree,Standard,Start,Married,Sometimes,Yes,4,Private car,0-5,64,63,54
1528,Male,Group c,Associate's degree,Standard,Completed,Married,Regularly,No,1,Private car,0-10,76,63,69
1529,Female,Group d,college degree,Standard,Completed,Married,Sometimes,Yes,1,School_bus,0-5,83,87,94
1530,Female,Group e,law degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,0-10,53,48,55
1531,Female,Group f,college degree,Standard,Start,Single,Sometimes,Yes,3,Private car,5-10,81,79,80
1533,Male,Group c,law degree,Standard,Completed,Married,Sometimes,Yes,6,Private car,0-5,67,58,54
1534,Female,Group f,college degree,Free,Completed,Single,Sometimes,No,3,School_bus,0-5,45,58,55
1535,Male,Group b,Associate's degree,Standard,Start,Divorced,Sometimes,Yes,1,Private car,5-10,82,74,69
1536,Female,Group e,Associate's degree,Standard,Start,Divorced,Regularly,No,2,Own car,10-15,93,93,88
1537,Male,Group e,college degree,Standard,Start,Single,Sometimes,Yes,1,Private car,0-5,93,81,78
1538,Female,Group b,Bachelor's degree,Standard,Start,Married,Regularly,No,4,School_bus,5-10,54,57,60
1539,Female,Group c,college degree,Standard,Start,Divorced,Sometimes,Yes,2,School_bus,5-10,59,59,60
1540,Male,Group d,law degree,Standard,Start,Single,Never,Yes,0,Own car,5-10,48,43,41
1541,Female,Group b,High school,Standard,Start,Married,Sometimes,Yes,2,School_bus,10-15,52,68,65
1542,Female,Group e,High school,Standard,Completed,Married,Never,Yes,0,School_bus,0-5,68,80,82
1543,Male,Group c,Bachelor's degree,Free,Start,Married,Sometimes,No,1,Own car,5-10,82,78,84
1544,Female,Group b,Associate's degree,Free,Completed,Single,Regularly,Yes,2,Private car,5-10,48,64,61
1545,Male,Group d,college degree,Free,Completed,Single,Regularly,Yes,4,School_bus,5-10,78,79,88
1546,Male,Group d,law degree,Standard,Start,Married,Sometimes,Yes,2,Private car,0-5,75,79,77
1547,Female,Group c,law degree,Standard,Start,Married,Sometimes,No,2,School_bus,0-5,52,61,58
1548,Male,Group e,High school,Standard,Start,Widowed,Regularly,Yes,5,Private car,0-5,82,77,70
1549,Male,Group e,college degree,Standard,Start,Married,Sometimes,Yes,1,Own car,5-10,100,88,90
1550,Male,Group b,High school,Standard,Start,Single,Sometimes,Yes,3,School_bus,5-10,83,80,78
1551,Male,Group c,Bachelor's degree,Standard,In progress,Married,Regularly,Yes,4,School_bus,0-10,64,61,59
1552,Male,Group a,law degree,Standard,Start,Single,Sometimes,Yes,0,Private car,0-5,40,31,27
1553,Male,Group f,Bachelor's degree,Standard,Start,Married,Regularly,Yes,0,School_bus,0-10,70,70,76
1555,Male,Group b,law degree,Standard,Start,Married,Sometimes,Yes,2,Private car,0-5,77,80,73
1556,Male,Group b,college degree,Standard,Completed,Married,Regularly,Yes,3,School_bus,5-10,90,88,91
1557,Male,Group c,Bachelor's degree,Standard,Completed,Divorced,Regularly,Yes,1,Private car,5-10,73,54,63
1558,Male,Group b,Associate's degree,Standard,Start,Married,Regularly,Yes,1,Private car,5-10,52,44,42
1559,Male,Group e,college degree,Standard,Start,Married,Regularly,Yes,1,School_bus,5-10,77,66,64
1560,Female,Group b,law degree,Free,Start,Divorced,Sometimes,Yes,2,Private car,5-10,51,57,60
1561,Male,Group d,college degree,Standard,Completed,Divorced,Regularly,Yes,2,School_bus,5-10,78,71,74
1562,Female,Group e,law degree,Free,Completed,Single,Regularly,Yes,6,Private car,0-5,67,88,80
1563,Male,Group b,Associate's degree,Standard,Start,Single,Sometimes,No,5,School_bus,0-10,77,76,73
1564,Female,Group c,college degree,Standard,Start,Married,Regularly,Yes,4,School_bus,5-10,81,87,87
1565,Male,Group c,Associate's degree,Standard,Completed,Single,Never,Yes,0,School_bus,0-5,77,77,74
1566,Male,Group d,law degree,Standard,Start,Married,Regularly,Yes,0,School_bus,5-10,60,58,55
1567,Female,Group a,college degree,Free,Start,Single,Sometimes,Yes,2,School_bus,0-5,56,68,60
1568,Female,Group a,law degree,Free,Start,Divorced,Regularly,No,2,School_bus,0-10,38,62,57
1571,Male,Group c,college degree,Standard,Start,Divorced,Never,Yes,1,Private car,0-10,86,86,76
1572,Female,Group b,law degree,Free,Completed,Married,Sometimes,Yes,1,School_bus,5-10,69,84,87
1573,Male,Group c,law degree,Free,Completed,Married,Sometimes,Yes,2,School_bus,5-10,50,52,49
1574,Female,Group d,Associate's degree,Standard,Completed,Married,Regularly,Yes,1,Private car,0-5,49,71,73
1575,Male,Group d,High school,Standard,Start,Married,Regularly,No,4,Own car,5-10,67,56,54
1576,Female,Group c,High school,Free,Start,Married,Regularly,No,2,School_bus,0-10,33,53,48
1577,Female,Group b,Associate's degree,Standard,Start,Single,Sometimes,No,1,School_bus,5-10,64,72,73
1578,Female,Group b,Master's degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,5-10,89,87,92
1579,Male,Group f,law degree,Free,Start,Divorced,Regularly,No,1,Own car,0-10,81,74,67
1580,Male,Group a,college degree,Standard,Start,Married,Regularly,No,3,School_bus,5-10,76,77,72
